Player,AVG,GP,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,PO,A,E,FLD%
Mike Malone,0.375,1,8,3,3,0,1,0,2,5,0.625,0,0,2,0,0.375,0,0,5,1,1,0.857
John Mayette,0.364,49,165,32,60,11,0,0,23,71,0.43,15,10,28,2,0.447,0,1,211,39,4,0.984
Rob Baehr,0.302,43,149,19,45,7,2,1,25,59,0.396,18,2,17,3,0.385,0,1,63,3,3,0.957
Steve Yanosy,0.3,10,10,2,3,1,0,1,3,7,0.7,0,0,3,0,0.3,0,0,2,6,2,0.8
Mike Lombardo,0.297,49,165,43,49,7,0,0,17,56,0.339,36,4,28,6,0.434,0,4,102,132,5,0.979
Eric Urciuoli,0.295,44,132,21,39,6,1,0,24,47,0.356,17,2,17,3,0.384,0,3,77,5,5,0.943
Nick Macellaro,0.293,49,167,33,49,9,3,0,34,64,0.383,30,2,28,6,0.407,0,3,78,74,15,0.91
Dan Conrad,0.289,18,38,6,11,0,0,0,5,11,0.289,3,1,9,2,0.357,0,0,10,2,0,1
Jay Landeen,0.287,49,164,30,47,8,4,1,29,66,0.402,18,2,44,1,0.364,0,3,82,149,21,0.917
Bill Thomes,0.285,48,151,28,43,8,0,1,28,54,0.358,28,2,25,4,0.403,0,3,177,24,4,0.98
Chris Piryk,0.25,6,8,1,2,0,0,0,2,2,0.25,0,0,1,0,0.25,0,0,8,7,2,0.882
Ryan Holleran,0.239,44,109,22,26,5,3,0,14,37,0.339,20,11,27,3,0.407,0,0,164,35,8,0.961
Shawn Dreyer,0.234,31,64,8,15,1,0,1,8,19,0.297,6,1,11,0,0.31,0,3,18,1,1,0.95
Gary Angello,0.23,39,100,14,23,1,1,3,15,35,0.35,5,2,19,3,0.28,0,0,49,2,1,0.981
Hector Carrion,0.212,19,33,4,7,2,0,0,2,9,0.273,0,1,5,0,0.235,0,0,42,6,1,0.98
Donald Crossman,0.192,23,52,10,10,2,0,1,5,15,0.288,3,8,18,0,0.333,0,0,18,6,4,0.857
Ben Campbell,0.167,19,24,2,4,2,0,0,2,6,0.25,2,2,14,1,0.286,0,2,7,0,0,1
Phil McMillan,0,18,6,3,0,0,0,0,0,0,0,1,0,3,0,0.143,0,0,3,0,0,1
Peter Nisyrios,0,6,5,1,0,0,0,0,0,0,0,1,0,1,0,0.167,0,0,1,1,0,1
